question,1,2,3,4,answer
Dr. Takahashi is also an active researcher who ___ the latest advances into his patients' treatments.,renovates,integrates,collaborates,translates,integrates
"In , Mr. Haist and Ms. White dissolved their partnership by ___ consent and Ms. White became a sole owner.",actual,punctual,mutual,crucial,mutual
Please submit the proposal according to the instructions provided and make sure it ___ before the submission deadline.,is delivered,delivery,is delivering,delivered,is delivered
"As a leader in the area of computer security, IBM has made security standards the highest ___ since its inception.",adjustment,provision,change,priority,priority
Normally a person will regain consciousness ___ four and five days after a car accident.,between,whether,except,when,between
"Healthy Workplace Club would like ___ all employees, along with their families, to participate in the event this June.",to invite,invitation,invitingly,invited,to invite
"___ the copy shop is located in the office building, it attracts many office workers.",After,Since,Despite,Therefore,Since
"In accordance with the municipal act, two members of the city council are appointed on a ___ basis for a oneyear term.",rotating,rotates,rotations,rotate,rotating
Sending a letter of apology ___ after a customer complaint is a highly recommended practice.,inwardly,promptly,highly,extremely,promptly
"The Korean Association of the Auto Industry, also ___ as KAAI, publishes a quarterly technical magazine.",known,knowing,knew,knows,known
"If you have any questions about the regulations for ___ taxes with the federal government, please contact your accountant first.",informing,telling,applying,filing,filing
All sales reports for the ___ year must be submitted by January 31 of the following year.,late,current,closed,direct,current
"Mr. Zhou is our general engineer who is responsible for ___ productivity of the factory, developing new products and solving the problems occurring during production.",increasing,increases,increased,increasingly,increasing
Most students have logged in to check their grades immediately via the website ___ waiting for written notification.,out of,except for,as to,instead of,instead of
Please accept our sincere apologies for the recent ___ in telecom services in some parts of the country.,irritation,outbreak,controversy,disruption,disruption
"In addition, DRS has been redesigning its website to make it ___ consumerfriendly and useful.",more,many,good,much,more
Elizabeth Farnsworth will lead a discussion with a ___ group of voters in Denver on their views of the upcoming presidential election.,diverse,diversity,diversely,diversify,diverse
Natural Resources Canada provides a comprehensive list of vehicles ranked ___ their fuel efficiency.,in order to,according to,similar,allowing,according to
We have ___ confidence in the product's ability to provide unrivaled protection in an exposed blast environment.,productive,eventual,informative,absolute,absolute
"Although a number of studies have been conducted to examine the ___ of the anti drink-driving campaign, no consistent conclusion could be drawn.",happiness,effectiveness,prosperity,satisfaction,effectiveness
Please let our sales representative know ___ you would prefer to receive your order by mail or courier if you need to get it earlier.,than,whereas,whether,such,whether
"Under ___ and chief executive officer Chip Mason, Legg Mason has acquired many successful fund management firms and usually operates them independently.",foundation,founder,found,founded,founder
Flat-panel LCD and plasma TVs have been highly reliable products that require ___ repairs during the first three years.,quite,often,any,few,few
The details of the project will be made ___ as soon as the final version has been agreed upon by the board.,publicly,publicize,public,publicized,public
All chocolate-covered apples are ___ wrapped and the entire gift basket is wrapped in a cellophane bag to ensure freshness during shipping.,individually,reservedly,positively,approximately,individually
"Thanks to the widespread ___ in production techniques, it has been possible for our plant in China to produce more durable trucks.",belongings,advances,commitments,inspections,advances
Departmental restructuring will be discussed at the ___ monthly meeting.,next,always,soon,like,next
"To keep ___ park beautiful, please place your nonrecyclables in the available trash cans.",our,we,US,ours,our
Mr. Hardin ___ additional images of the office building he is interested in leasing.,informed,asked,advised,requested,requested
A team of agricultural experts will be brought ___ to try to improve crop harvests.,because,either,between,together,together
The board of Galaxipharm ___ Mr. Kwon's successor at yesterday's meeting.,named,granted,founded,proved,named
"If your parking permit is damaged, bring it to the entrance station for a ___ .",replacement,replacing,replace,replaces,replacement
Mr. Ahmad decided to reserve a private room for the awards dinner ___ the restaurant was noisy.,rather than,in case,such as,unless,in case
Ms. Jones has provided a ___ estimate of the costs of expanding distribution statewide.,conserve,conserves,conservative,conservatively,conservative
"Each quarter, Acaba Exports sets ___ sales goals for its staff.",compact,wealthy,faithful,realistic,realistic
Ms. Garcia was delighted to receive ___ that her company soon will be featured in the In Town Times magazine.,notify,notification,notifying,notifies,notification
Children under five years of age are eligible ___ free vision tests.,over,down,for,out,for
Drivers on the Parian Expressway are reminded to drive ___ throughout July because of the ongoing construction work.,caution,cautiously,cautious,cautiousness,cautiously
The committee will resume its weekly meetings ___ Ms. Cheon returns from Scotland on September 17.,that,once,as well,then,once
The ___ initiative aims to provide public transportation for commuters living in the outer suburbs.,proposed,proposing,proposal,propose,proposed
"Yesterday's storm ___ interrupted the services of the Duddula, Inc., satellite communications system.",annually,anytime,whenever,temporarily,temporarily
"Even though Cabrera Pictures and Marcella Images make very different films, ___ are successful movie studios.",several,everybody,some,both,both
___ of tasks can make a manager's job easier and help other employees learn new skills.,Reputation,Foundation,Delegation,Permission,Delegation
Proceeds from the sale of Delcrest Corporation were equally ___ among the founder's three daughters.,divisions,dividing,divide,divided,divided
"___ higher than average ticket prices, every performance of Aiden North's new play is sold out for the next six months.",Throughout,Except for,Despite,Prior to,Despite
"Ricardo Sosa, the executive chef at Restaurant Ninal, responds to guests' suggestions ___ .",respect,respects,respectfully,respected,respectfully
"Mr. Koster is negotiating the ___ of the new contract with Arban, Inc.",scope,turn,grip,drive,scope
The equipment-use guidelines ___ on our internal corporate Web site.,may find,can be found,have found,have to find,can be found
Professor Han created spreadsheets to calculate the farm's irrigation needs ___ .,dominantly,precisely,relatively,widely,precisely
"For hiring purposes, five years of professional experience is ___ to having achieved certification.",reasonable,appropriate,equivalent,significant,equivalent
South Regent Aviation is adopting measures to reduce fuel expenses by ___ cargo loads.,light,lighten,lightly,lightening,lightening
___ the most challenging aspect of accepting a new position is negotiating a salary that is both fair and satisfying.,Perhaps,Outside,Every,While,Perhaps
"Complaints about its new line of kitchen appliances led Loxevo, Inc., to adopt higher ___ for assessing quality.",standards,features,risks,institutions,standards
The chief engineer noted that constructing another bridge would be more ___ than repairing the existing structure.,economy,economics,economically,economical,economical
Jansen Bus Company drivers are expected to complete regular trainings ___ maintaining their state licenses.,in addition to,according to,inside,within,in addition to
Ms. DeSoto ___ all employees to come to last week's budget meeting even though only officers were obligated to attend.,to have urged,had urged,will have urged,was urged,had urged
The new interns have been very mindful of ___ parking regulations.,theirs,ours,our,they,our
"To help the arts center improve its programming, please indicate which aspect of the workshop was most ___ .",informative,primary,enthusiastic,financial,informative
Mr. Gupta explained the of ___ the upgraded customer database to the sales team.,beneficial,benefits,benefited,benefiting,benefits
Buses leaving the city terminal were delayed due to icy conditions ___ the roads.,on,out,from,until,on
"If you have recently ___ a digital camera and want to learn how to use it, this course is for you.",purchased,purchase,purchasing,to purchase,purchased
The upcoming ___ of Tantino Airport will ease congestion and modernize guest accommodations.,performance,supplement,deadline,renovation,renovation
The study showed that customers aged 35 to 44 paid with a Sonoka credit card ___ than customers in any other age-group.,frequently,frequent,more frequently,frequency,more frequently
You need to ___ a business plan before your loan application can be processed.,donate,request,confess,submit,submit
The hotel's ___ shuttle bus will take guests to Hong Kong's major landmarks.,compliments,complimentary,compliment,complimenting,complimentary
"___ months of work to sell the Apton Building, the realtor finally succeeded last week.",Besides,After,Still,For,After
We will review all four custodial-service bids and choose ___ that suits our needs.,some,one,others,either,one
The client asked for ___ to the images in the advertising text.,standards,drawings,revisions,duplications,revisions
Please be advised ___ we have had to cancel your order because of a difficulty with our shipping agent.,that,of,whether,between,that
Tin Creek Corporation ___ that its paper towels are the most absorbent on the market.,obtains,competes,inquires,claims,claims
KCLN Associates will enter into a business ___ with the contractor as soon as some of the terms are renegotiated.,agreed,agreement,agreeable,agreeing,agreement
"___ registering for online banking is not required, we strongly recommend it to all of our customers.",Although,Instead,Regardless,Despite,Although
Viewers can easily ___ to the main character in the popular television series Autumn Mystery.,related,relatable,relating,relate,relate
Fairlawn Medical Clinic offers a full ___ of services as part of its community wellness programs.,center,surplus,range,type,range
The rear entrance to RC Bank will be closed for repairs and not ___ next Monday.,accessible,accessing,access,accesses,accessible
"Mr. Carson wants to see Carson audio products ___ , even in remote regions of the world.",decidedly,furthermore,rather,everywhere,everywhere
We can buy office ___ such as desks and printers from any of our company's approved vendors.,equip,equipping,equipment,equipped,equipment
"When taking a book order, agents must record the customer's name and the ___ price of each item.",assembled,listed,addressed,earned,listed
The building will be furnished ___ the supervisors do their inspection.,with,these,once,just,once
"In a strong display of confidence, the firm's board of directors ___ approved the merger.",superficially,regularly,magnificently,unanimously,unanimously
"When recently ___ , residents of Mill Creek Park said that street disrepair is the issue that concerns them most.",poll,polls,pollster,polled,polled
Ms. Rivera agreed to work on the holiday ___ Mr. Grant could attend the conference.,considering,so that,as if,wherever,so that
The clerk collects packages from each department twice a day and takes them to the mail room ___ .,throughout,all along,too much,downstairs,downstairs
Please inform Ms. Erwin of any complaints ___ those already discussed in today's meeting.,beyond,between,during,against,beyond
The Tonsin Writers League is a reputable organization with highly ___ members.,accomplishes,accomplishment,accomplished,accomplish,accomplished
"As Mr. Nakata's assistant, Ms. Bain is in charge of ___ him on the latest financial news.",discussing,briefing,resuming,narrating,briefing
The event planner determined that Tuesday's forum will require ___ chairs.,addition,additions,additional,additionally,additional
Ms. Hu will check the storage closet before she ___ more office supplies.,contains,orders,writes,copies,orders
All sales staff are asked to acknowledge their ___ in Monday's workshop.,participate,participates,participated,participation,participation
The commercial for Zhou's Caf was ___ Sunn Agency's best advertisement of the year.,easy,ease,easiest,easily,easily
Use coupon code SAVE20 to purchase ___ perfume or cologne for 20 percent off.,any,few,single,many,any
Talk-Talk Cell Phone Company will soon be merging with its main ___ .,competitor,competing,competitive,competitively,competitor
Ms. Ellis designed one of the most ___ marketing campaigns the department had seen.,create,creation,creative,creatively,creative
Last month we received numerous ___ comments from customers on our blog.,eventual,probable,close,positive,positive
"Beginning on August 1, patients will be asked to complete a short survey ___ each visit.",inside,after,where,whenever,after
Viewing the beautiful landscape outside her door ___ inspires Elia Colao to paint.,continually,continue,continual,continued,continually
"Although the parts are made in China, the ___ of Jamy bicycles is done in Canada.",vision,meeting,approach,assembly,assembly
Many businesses promote carpooling ___ traffic congestion.,is prevented,prevent,to prevent,prevented,to prevent
"___ the repairs are complete, only essential personnel are allowed in the building.",Despite,Finally,Until,During,Until
We apologize for having used the wrong colors on the Slarott Architecture brochures and will deliver ___ on Friday.,replacing,replaces,replaced,replacements,replacements
Employees must store all tools ___ at the end of the shift.,properly,restfully,truly,finely,properly
An ___ to renovate the old factory was submitted to the city council.,application,establishment,experience,accomplishment,application
Customers ___ wish to return a defective item may do so within twenty days of the date of purchase.,whose,who,which,whichever,who
The Golubovich House will be open ___ a special living-history program on Sunday.,from,around,for,by,for
Mr. Wijaya is reviewing the resumes to select the candidate best ___ for the position.,qualify,qualifications,qualifying,qualified,qualified
Laura Gless promotes faculty-led study programs in ___ such as France and Italy.,destinations,ambitions,purposes,intentions,destinations
Mr. Stafford e-mailed the clients to ask ___ there is a train station near their office.,so,about,whether,of,whether
"Last year, the city ___ nearly  building permits to small-business owners.",regarded,issued,performed,constructed,issued
"Local merchants are hopeful that if this new business succeeds, ___ will also benefit.",theirs,them,their,themselves,theirs
"Following the retirement of Mr. Whalen, the company ___ a search for a new CEO.",connected,launched,persuaded,treated,treated
Ms. Travaglini filed the paperwork with the facilities department ___ a week ago.,beyond,over,past,through,through
"After the lease ___ , customers have the option of purchasing the car or returning it to their local dealer.",expired,is expiring,will be expiring,expires,is expiring
The Jones News Hour is broadcast ___ on radio and television.,instinctively,simultaneously,collectively,mutually,mutually
Ms. Choi would have been at the keynote address if her train ___ on time.,arrives,will arrive,had arrived,arriving,had arrived
___ account will be credited after we receive the returned merchandise.,You,Yours,Your,Yourself,Your
Late entries for the cake decoration contest will not be ___ .,solved,accepted,decided,earned,accepted
The newspaper has seen an ___ in the number of subscribers who read the online version.,increase,increases,increasingly,increased,increase
Every attorney at the firm of Duncan and Hulce has practiced law ___ more than ten years.,at,for,on,by,for
Prethart Tool Company has created a more ___ drill than its previous models.,powerful,powers,powerfully,power,powerful
"To find out if an item on this Web site is in stock, ___ highlight the item and click the Check on it button.",mostly,simply,enough,quite,simply
Mr. Jones ___ Ms. Cheng's clients while she is on a business trip to Hong Kong.,will assist,assisted,to assist,is assisted,will assist
The Jossty Company offers insurance policies to renters at the lowest rates ___ .,ready,strong,available,agreeable,available
"___ the Editorial Department receives the author's final approval, the manuscript should be sent to the printer.",As soon as,Still,In the meantime,For example,As soon as
Sidewalks in the town of Newburgh are ___ one meter wide.,general,generally,generalize,generalization,generally
The housing authority has formed a ___ to look for new construction locations.,member,building,frontier,committee,committee
A recent study has found that those ___ regularly read food labels tend to be healthier.,what,where,who,when,who
"If you are not ___ with your Electoshine toothbrush, you may return it for a full refund.",satisfaction,satisfying,satisfied,satisfy,satisfied
DG Feed Supply has shown strong growth heading ___ the end of the fiscal year.,among,into,around,between,into
Book fair volunteers may be asked to work longer shifts if the need ___ .,arise,arises,had arisen,arising,arises
"On Tuesday, Mr. Molina will visit the Seoul office for the first time ___ becoming vice-president of operations.",under,past,until,since,since
Attendees said the fireworks were the most ___ part of the festival.,impression,impressive,impresses,impressed,impressive
The interview panel felt that Dinah Ong's education fit the job description of junior accountant ___ .,perfectly,recently,routinely,occasionally,perfectly
The new software makes it possible to track purchases ___ at multiple points-of-sale.,rely,reliable,reliant,reliably,reliably
"___ the next few months, Camion Vehicles will add more features to its sedans.",Provided,Applying,Toward,Over,Over
Altona Printing is expecting a ___ upturn in holiday card orders in the next few weeks.,considerable,wide,central,dominant,considerable
"By creating innovative packaging ___ , EK2 Beverages hopes consumers will reuse their water bottles.",designed,designs,designing,designers,designs
"Throughout her tenure at LPID Systems, Ms. Patterson has ___ at defining complex concepts in simple terms.",excelled,organized,instructed,simplified,excelled
Winslet Food Service has ___ to expand the cafeteria's menu offerings.,promptly,before,although,promised,promised
"___ the results of the customer survey, we may consider extending the store's evening hours until 9 P.M.",Because,Depending on,Whereas,In order for,Depending on
Yerrow Cameras' lenses have a long telephoto reach yet an ___ lightweight casing.,exceptions,exception,excepting,exceptionally,exceptionally
"After postponing her studies for many years, Ms. Ruiz ___ earned a degree in law.",thoroughly,distinctly,eventually,already,eventually
A favorable report on the ___ of Seesom Eyewear convinced the partners to invest in the company.,profitability,profitable,profited,profitably,profitability
"In Monday's meeting, Mr. Ito ___ the need to hire enough workers for the peak season.",hesitated,emphasized,dominated,launched,emphasized
Pugh Tower won the Best New Building Award for its creative ___ of sustainable materials.,routine,accessory,incorporation,submission,incorporation
The custodial staff ___ that we clean our dishes before leaving the kitchen.,requests,behaves,uses,visits,requests
"If customers lose their original warranty ___ , they can download a new one from the Web site.",certify,certificate,certifiable,certifiably,certificate
"Our Portview branch is located ___ the central business district, between Burnside Avenue and Everett street.",on,t0,for,in,in
None of the employees ___ that Mr. Annan planned to retire at the end of the year.,knowingly,known,knew,to know,knew
Apply to Joneston Stores today so as not to miss ___ chance to join a great sales team.,you,your,yours,yourself,your
Employees are eligible to receive a ___ salary if they complete a special marketing course.,possible,frequent,closed,higher,higher
"Keeping the Deal, Jan Butler's latest volume on management style, is her most commercially ___ book to date.",successfully,successful,succeed,success,successful
Present this postcard to a sales ___ at any of our stores and receive a 5.00 gift card.,accessory,associate,faculty,formula,associate
Lakeside Shopping Center has undergone ___ renovations in the last decade.,multiple,multiply,multiples,multiplied,multiple
There is a mandatory meeting today for everyone involved in managing or recruiting ___ .,staplers,volunteers,devices,headquarters,volunteers
The Smeeville bus system will accept only Rove Fare cards ___ May 1 onward.,now,from,while,when,from
"Relocating for work is ___ a difficult decision, but it can be rewarding.",understandably,understanding,understood,understand,understandably
Last week Parmax Corporation ___ a disagreement with its main competitor concerning.patent infringement. .,settling,settler,settle,settled,settled
Khoury Dairy's upgraded milk-bottling system has ___ increased productivity in the Tallahassee plant.,consistency,consistencies .,consistent,consistently,consistently
The Rinka  blender has not received a single ___ in the New Products Web forum.,complained,complaint,complaining,complain,complaint
"After raising $45 million last year, Yamamoto Technologies is now ___ Seattle's best-funded companies.",into,over,among,across,among
Deangelo's Delights was so popular that the owner opened two ___ bakeries.,allowable,additional,uninterested,inclusive,additional
Chef Octavia Farina took over Fratelli's Restaurant ___ the previous chef left to open a new restaurant.,unless,rather than,as if,after,after
The director of Wingstom Foods commended Ms. Weiss for increasing ___ in the bakery division.,produced,producing,production,productive,production
"Greg Owens, founder of multi-national Hermes Taxi Service, used to drive a taxi ___ .",he,his,himself,his own,himself
"Starlight Theaters is proud to announce record earnings for the third quarter, far exceeding ___ .",adjustments,endorsements,computations,expectations,expectations
"Employees can attend one of the many workshops offered, ___ seems most interesting.",whichever,however,everyone,much,whichever
"___ her strong negotiation skills, Marie Russel was made Sanwa, Inc.'s lead sales contact.",Given,Deciding,Finding,Because,Given
A locked suggestion box will allow employees to submit feedback to management ___ .,anonymously,approximately,expressly,patiently,anonymously
A new strategy is under development to ___ our products more aggressively overseas.,invest,compete,participate,market,market
"___ on the city's ongoing revitalization project, Mayor Owen promised that residents would be pleased with the results.",Comment,Comments,Commented,Commenting,Commenting
"___ , repairs to the plumbing pipes in the Moffett Building will be costly.",Tremendously,Unfortunately,Casually,Enormously,Unfortunately
The CEO's speech will be recorded in its ___ and made available to employees who could not attend the meeting.,entirety,system,perception,estimation,entirety
Trails on the southeast side of the mountain are often closed ___ because storms tend to occur without warning.,accidentally,coincidentally,steeply,unexpectedly,unexpectedly
Please submit your hours ___ any work-related expense reports by Friday.,as well as,above all,in addition,in case that,as well as
"While the director of communications is away, all e-mails and calls will be forwarded to ___ assistant.",she,her,hers,herself,her
Mr. Srour's flight arrived ___ late for him to attend the reception.,so,ever,too,already,too
Mr. Wagner will arrange the schedule of events for the ___ of the flagship store.,opening,openness,openly,opens,opening
"___ the final award had been presented, Ms. Ryu acknowledged the support of the event's sponsors.",During,Then,After,Next,After
Chunto Consultancy Service recommended a ___ way of balancing the annual budget.,succeed,success,successful,successfully,successful
Press lightly ___ the pedal with your left foot to release the vehicle's parking brake.,up,on,of,in,on
___ Hikers are invited the information center for trail maps of Far Valley Park.,visiting,to visit,visits,having visited,to visit
Danton Estate Brokerage offers an online educational program to help ___ home buyers choose a property.,unmistakable,incomplete,unused,inexperienced,inexperienced
lolana Dance Troupe stands out because the group knows ___ to integrate a variety of dance styles.,how,that,since,about,how
The Lafayette Hill Public Library requires that the ___ of mobile phones be restricted to the conversation rooms.,use,model,time,call,use
Major airlines have ___ been using self-serve ticketing systems to reduce wait times.,increases,increasing,increased,increasingly,increasingly
A book of songs written by Pakistani singer Ayesha Saad was sold at auction yesterday ___ an undisclosed amount.,from,to,off,for,for
There is ___ more important to maintaining dental health than brushing your teeth twice a day.,other,neither,nothing,whatever,nothing
Taste tests suggest that most people ___ Dairysmooth's red-bean-flavored ice cream very appetizing.,find,feel,take,like,find
"Regardless of ___ a candidate is offered a job, all applications are kept on file for six months.",even,whether,although,including,whether
"___ the Nye Research Center, performing assigned duties for 30 minutes while standing increases productivity.",Not only,In case of,As though,According to,According to
This booklet is intended to inform drivers of ___ on bridge travel for oversized vehicles.,restricts,restricting,restrictive,restrictions,restrictions
Customers can now enjoy ___ food seven days a week at the recently renovated Novani Grill.,exceptional,surpassing,effective,dominant,exceptional
No one at the Anshelt Corporation campaigned ___ for expansion of the internship program than Melody Ahn.,energetic,most energetic,energetically,more energetically,more energetically
"Monday's workshop will help restaurant owners ___ their ability to effectively recruit, train, and retain staff.",cover,prepare,progress,evaluate,evaluate
The digital advertising campaign has generated ___ interest in the clothing line.,substance,substances,substantial,substantially,substantial
The seminar leader stated that addressing customer concerns ___ was one crucial element for financial success.,consistently,largely,hugely,identically,consistently
"Although the desk was slightly damaged during assembly, it is still ___ .",function,functional,functionally,functioned,functional
"___ its discounts for new customers, Teratran Phone's service plans are considered inferior by many.",Far from,Despite,Among,Instead of,Despite
"Now that Ms. Nakamura ___ to the London headquarters, a new manager is running our Tokyo office.",has transferred,transferring,transfer,to transfer,has transferred
"___ the kitchen cabinets arrived late, the contractor installed them without putting the job behind schedule.",Even though,Instead of,In addition to,On top of,Even though
The proposal for the Seascape project will be ready tomorrow ___ we receive the budget analysis today.,expecting,if not,unlike,as long as,as long as
The Ortimate 3 home theater system is Hyong Electronics' most ___ priced configuration.,closely,sparsely,reasonably,absolutely,reasonably
The Oakwood Restaurant ___ a special dinner menu on Saturdays for the past decade.,is offering,has been offering,will be offering,would have been offering,has been offering
"Mr. de Tonnancour has a speaking ___ on Tuesday, November 15.",engagement,term,subject,employment,engagement
Mr. Guo ___ with an electrician yesterday about the rewiring project.,consults,is consulting,to consult,consulted,consulted
Ms. Lan Le will complete ___ internship at the George Cake Shop next week.,she,her,hers,herself,her
Every Thursday the Lifelong Reading Club meets to ___ novels written by local authors.,create,discuss,perform,dictate,discuss
Skymills Insurance ___ grew from a small business to a midsize company with  employees.,quick,quickly,quicker,quickest,quickly
Local shop owners are invited to the ___ of Clyde Bank's downtown branch.,open,opened,opening,openly,opening
All e-mail messages regarding legal issues should be ___ in a separate folder.,stored,escaped,served,determined,stored
"Hiring an ___ for Ms. Tsai must be our top priority, as her workload has increased.",assist,assistant,assisted,assistance,assistant
The ___ Ladoff Building was constructed in  and stood two stories tall.,origin,originated,originally,original,original
"If you have questions about your most ___ credit card statement, call Mr. Hassan.",central,consecutive,actual,recent,recent
The Rinzlite dishwasher was ranked higher ___ all other dishwashers in its class.,to,past,than,by,than
"So far, the Grantley store ___ 20 percent more mobile phones than it did last year.",will sell,was sold,has sold,are selling,has sold
"In the event of a power failure, unplug computers until power is ___ restored.",fully,fullness,fullest,full,fully
"Although Mr. Akiyama retired last year, he ___ visits the office each week.",next,yet,still,finally,still
"At the panel discussion, Ms. Yang made a ___ argument for environmentally responsible business practices.",convince,convincing,convinced,convincingly,convincing
The Hokodo Orchestra will hold ___ for new string musicians next Tuesday.,attention,investigations,motivation,auditions,auditions
"Although the team members ___ were not available after the game, the coach was happy to be interviewed.",themselves,they,theirs,them,themselves
Ms. Schwimmer's application was not ___ reviewed until November 5.,relatively,occasionally,completely,enormously,completely
Managers are encouraged to give their staff ___ feedback during the annual performance-review meetings.,construction,constructively,constructive,constructing,constructive
Deckermark Enterprises offers employees flexible scheduling and telecommuting ___ .,statements,exchanges,precautions,options,options
"Ms. Summer can estimate the cost for the land-clearing project in Fosterville, ___ before the details are finalized.",even,some,such,else,even
The company's transition from paper paychecks to electronic paychecks was ___ smooth.,impressive,impression,impressively,impress,impressively
All temporary workers should contact Ms. Fierro to ___ an identification badge.,combine,obtain,gather,approach,obtain
We will pay your insurance claim ___ we receive the official damage report.,once,since,like,except,once
Neither of the ___ in the debate was willing to take a stand on the riverfront development controversy.,politicians,politicize,political,politically,politicians
"___ the additional funding, Central City Medical School expects to double the size of its research team.",Over,On,At,With,With
The clients have indicated that a reception area of 60 square meters will be ___ in the new building.,sufficient,flexible,capable,calculating,sufficient
Ms. Lau would like to know ___ Mr. Cole called the main office yesterday.,whatever,while,why,who,why
Koffler Law hired more paralegals ___ meet its commitment to clients.,consequently,in order to,in any case,additionally,in order to
The newest edition of the Biltmire Road Atlas has plastic-coated pages for extra ___,familiarity,persistence,durability,replacement,durability
Job seekers should prepare a list of professional references ___ applying for positions.,prior to,outside of,in front of,according to,prior to
Kanelek Limited and Evensohn LLC have entered a strategic partnership to ___ their market share.,increased,increasing,increases,increase,increase
Glenwick Organic Farm stands out from other farms for its environmentally ___ practices.,exposed,communal,friendly,considerable,friendly
Our ___ is responsible for performing quality-control reviews during production.,divided,division,divisive,dividing,division
"Because of a mechanical failure in the production facility, Fizzy Bottlers will be closed ___ further notice.",around,through,except,until,until
Interviewees are asked not to talk among ___ while waiting in the reception area.,themselves,theirs,them,their,themselves
The accounting department reminds all staff to submit expense reports ___ after returning from a trip.,very,enough,rather,soon,soon
Olayinka Boutique ___ hosts special shopping events for members of its loyalty club.,occasion,occasions,occasional,occasionally,occasionally
"For homeowners seeking to reduce their electricity bills, the energy-saving ideas in this brochure should be ___ .",lengthy,immediate,helpful,perceptive,helpful
The Delmar Highway Department ___ an online list of current road closures.,maintenance,maintains,maintaining,is maintained,maintains
"___ reducing staff, management made the decision to decrease administrative bonuses.",Rather than,Whether,Just as,Namely,Rather than
"The doorways, which arch so ___ , were left intact during the renovation of the historic Dersten Building.",graceful,grace,gracefully,graces,gracefully
Ms. Maeda was ___ that her art submission was used on the cover of the firm's annual report.,performed,flattered,welcomed,challenged,flattered
The primary ___ is whether the cost of the car repair is reasonable considering the amount of labor involved.,method,relation,concern,source,concern
Norvo Financial has built an ___ client base in a short period of time.,impressive,impress,impressively,impresses,impressive
We ___ all employees to wear formal business attire when meeting with clients in the office.,monitor,require,confirm,include,require
___ Ms. Chang nor Mr. Kao received the e-mail outlining the project proposal.,Both,None,Neither,Whoever,Neither
"In case of inclement weather, employees are encouraged to work ___ rather than travel to the office.",carefully,remotely,eventually,closely,remotely
Long-term maintenance fees ___ according to the type of industrial printing machine purchased.,copy,repair,support,vary,vary
Ms. Kwon made it absolutely ___ that hiring decisions require her approval.,clearing,clear,clearly,cleared,clear
Sookie Choi's latest children's book is being ___ by Chung-He Park.,illustrating,illustrated,illustration,illustrates,illustrated
The Stoneport Gallery is hosting a ___ next week to showcase the works of sculptor Fabrice Pepin.,scene !,society,formality,reception,reception
Mr. Soto will run 5 kilometers every other day in order to ___ for the Leesburg Corporate Challenge half marathon.,translate,listen,wait,train,train
All employees are expected to behave ___ when they are traveling on company business.,responsible,responsibly,responsibility,responsibleness,responsibly
"___ he is now retired, Mr. Matilia is able to pursue his hobby of woodworking.",During,Therefore,When,Because,Because
___ for press coverage of the music festival will receive official responses by June 30.,Applies,Application,Applicants,Applying,Applicants
All employees should back up crucial data ___ switching over to the new software system on August 5.,before,of,what,so,before
A label on each box should indicate the production date as well as the place of ___ of the contents.,importance,safety,foundation,origin,origin
Ms. Jha assured the client that ___ would deliver the contract that afternoon.,her,she,hers,herself,she
"During negotiations, management appeared ___ to the idea of increasing the staff's wages.",agree,agreement,agreeable,agrees,agreeable
Employees ___ several departments have been encouraged to minimize costs.,across,into,between,despite,across
Sunwirth Sneakers has several ___ in the greater metropolitan area.,locations,locate,located,location,locations
Cimber CPAs offers clients the convenience of ___ their invoices online and by mail.,buying,paying,going,eating,paying
The new software at Patel Industries has been working ___ since it was installed last year.,reliable,to rely,more reliable,reliably,reliably
Best practices in customer service are outlined ___ the training handbook.,along,toward,over,throughout,throughout
The Scratch software will help us migrate our client records ___.,simple,simpler,simply,simplicity,simply
The comedian said that ___ sense of humor was inherited from a grandparent.,herself,her,she,hers,her
"Starting this August, Gavelton Bike Tours will be leading group cycling trips ___ Paris to Berlin.",from,beside,along,after,from
"We hope to ___ an agreement with Mason Cooper, Inc., within the next week.",reach,talk,reason,put,reach
Factory-floor managers must submit an inspection report at the end ___ their shift.,if,to,of,as,of
"___ a retail store, Seedum International will now sell merchandise only through its Web site.",Sometimes,Later,Formerly,Frequently,Formerly
"Remarkably, neither Ms. Chen ___ Mr. Gillespie had been notified that the board meeting was canceled.",or,and,with,nor,nor
The new microwave soup containers are ___ than the previous ones.,rigid,most rigidly,rigidly,more rigid,more rigid
"The Banly Tourism Society is ___ to present the first issue of its publication, The Banly Quarterly.",regular,general,proud,favorite,proud
Konixer Printers is conducting a thorough ___ of current requests for equipment upgrades.,evaluate,evaluation,evaluator,evaluative,evaluation
"___ the addition of 300 spaces, the ferry terminals parking area is still full by 9:00 A.M. every day.",Despite,Across,Besides,Inside,Despite
"Justlox, Inc., is planning to ___ redesign Model 543Q with its partners in Britain to ensure a better product.",collaboration,collaborative,collaboratively,collaborate,collaboratively
Each box of Lane Permanent Markers contains an ___ of surprising colors.,assortment,excitement,account,industry,assortment
We were pleased by the ___ and courteous reply we received from Astella Airlines concerning the change in itinerary.,safe,close,clean,prompt,prompt
The rising employment rate is one factor contributing to ___ in the housing construction trade.,grow,growth,grew,grown,growth
The color of the new chairs was not ___ on the invoice,specify,specified,specifying,specification,specified
Two hours is the ___ amount of time needed to complete the assignment.,minimum,temporary,bottom,durab,minimum
